t_enc_us,enc_deg,t1_us,y1,t2_us,y2,t3_us,y3,t4_us,y4,t5_us,y5,t6_us,y6,t7_us,y7,t8_us,y8,t9_us,y9,t10_us,y10,t11_us,y11,t12_us,y12,t13_us,y13,t14_us,y14,t15_us,y15,t16_us,y16
570499,149.454,571285,194.8600477,571776,200.8123387,572305,199.2370008,572803,196.6028823,573323,197.1321885,573841,194.5003389,574340,194.891597,574819,195.8369463,575299,194.3632439,575793,198.6812686,576336,193.8877307,576815,198.7988938,577317,196.715967,577820,193.6880087,578323,196.6985153,578822,195.1502462
579072,151.146,579829,195.1325321,580335,201.2567258,580857,199.4978464,581333,197.140944,581827,197.6716406,582341,194.5074273,582841,195.123229,583361,195.8735526,583870,194.4747704,584396,198.7826526,584887,193.6780752,585372,198.896753,585864,196.6533519,586379,193.8078722,586914,196.8089559,587387,195.2190515
587637,152.82,588363,194.8909159,588872,201.0855485,589383,199.3378758,589903,196.8427435,590412,197.133806,590913,194.4480679,591443,194.6898533,591917,195.6923952,592411,194.1056738,592889,198.6817654,593388,193.5907974,593918,198.437186,594410,196.3003647,594927,193.2972016,595420,196.2975788,595912,194.6772328
596162,154.494,596890,194.4796988,597410,200.5395341,597891,198.7760702,598374,196.6491808,598875,196.7819347,599373,194.1404408,599865,194.5783259,600337,195.5190165,600814,194.1955656,601306,198.4835282,601835,193.0570151,602359,198.5820984,602845,196.0597836,603362,193.2909134,603854,196.116539,604371,194.5654967
604621,156.15,605349,194.5114322,605875,200.8343156,606390,198.8481697,606877,196.4000021,607366,196.6685687,607873,193.7817349,608345,194.5875399,608863,195.3571638,609380,193.9740936,609891,197.9976784,610397,193.0637027,610879,198.2962921,611383,196.1417491,611889,192.9934586,612382,196.1031414,612855,194.525405
613105,157.806,613892,194.2994562,614384,200.2862193,614890,198.7987469,615353,196.4639089,615851,197.0020688,616352,194.0055419,616866,194.4475402,617315,195.438442,617800,193.837083,618333,198.4271295,618806,193.1535398,619319,198.3712307,619845,196.1495328,620326,193.2331596,620821,196.3372107,621331,194.7023546
621581,159.462,622319,194.3747407,622826,200.2511907,623349,198.4956969,623890,196.1786918,624395,196.4621025,624866,194.0133786,625358,194.2268307,625844,195.1807534,626347,193.7753456,626848,198.175463,627300,193.0230747,627779,198.0039993,628312,195.8207205,628819,192.8829775,629299,195.9100528,629804,194.4031223
630054,161.136,630790,194.1325172,631327,200.188956,631819,198.3042538,632337,196.0828805,632822,195.9304048,633307,193.5149843,633775,193.9648645,634261,194.8881782,634742,193.1228667,635242,197.386278,635747,192.5599167,636225,197.864974,636692,195.4403159,637200,192.2550371,637689,195.4081525,638203,193.7086797
638453,162.774,639195,193.6618511,639678,199.9001228,640197,197.8907512,640695,195.2790683,641208,195.5619592,641688,193.0118379,642186,193.3391765,642652,194.3450793,643180,193.1603861,643692,197.2980768,644199,192.4883899,644674,197.2830282,645174,195.3136342,645672,192.6733377,646163,195.5078151,646656,193.7358137
646906,164.412,647674,193.8325579,648171,200.1903469,648677,197.9649051,649198,195.6184197,649687,195.8132176,650178,193.5030964,650677,193.9403015,651150,194.6306264,651617,193.34069,652125,197.2086207,652621,192.5044313,653111,197.5652241,653586,195.2000407,654089,192.2621535,654591,195.1950577,655104,193.8147104
655354,166.068,656132,193.7279782,656647,199.4727379,657149,197.8349065,657640,195.636089,658122,195.5804817,658651,193.1403096,659144,193.6053919,659649,194.4014948,660186,193.0537242,660722,197.4381922,661239,192.2858555,661739,197.6554146,662278,195.2537053,662778,192.4176296,663270,195.534151,663757,193.5819848
664007,167.76,664763,193.7012048,665261,199.6736702,665766,198.1045477,666245,195.5404841,666749,195.7846259,667260,193.0196884,667754,193.5701943,668254,194.4391734,668756,193.1735189,669219,197.2017703,669675,192.3499246,670165,197.5297511,670693,195.1381473,671191,192.4632531,671689,195.4321758,672185,193.7449831
